55,삼양컴텍,"18,220",920,-4.81%,"2,133,791","39,517","18,270","18,280","7,509",35.38,38.14
56,고바이오랩,"6,450",690,+11.98%,"1,856,211","11,722","6,040","6,070","1,253",-15.25,-12.79
57,앱코,"1,117",33,-2.87%,"1,783,153","1,998","1,109","1,111",566,11.88,8.21
58,블루엠텍,"5,780",300,+5.47%,"1,738,314","10,004","5,800","5,810","1,937",-20.35,N/A
59,알파녹스,"1,766",16,+0.91%,"1,732,462","3,291","1,777","1,788",302,-3.70,-29.00
60,케이프,"9,380",10,-0.11%,"1,687,768","16,399","9,470","9,500","2,899",14.17,7.47
61,현대바이오,"5,870",150,+2.62%,"1,678,684","10,175","5,840","5,850","5,638",-25.97,-16.36
62,삼현,"15,250",800,+5.54%,"1,633,929","24,604","15,150","15,160","4,835",52.59,N/A
63,푸른기술,"8,670",180,+2.12%,"1,561,936","13,892","8,790","8,800",725,39.41,5.39
64,샌즈랩,"8,490",710,+9.13%,"1,424,069","12,715","8,500","8,510","1,296",-78.61,-5.21
65,청담글로벌,"7,920",820,-9.38%,"1,414,359","11,548","7,870","7,880","1,667",609.23,2.85
66,대창솔루션,450,3,+0.67%,"1,374,697",617,450,452,829,-6.72,-10.84
67,한선엔지니어링,"7,850",40,-0.51%,"1,285,673","10,678","7,860","7,870","1,356",17.41,7.30
68,우양,"5,010",10,+0.20%,"1,283,551","6,357","5,020","5,040",820,-238.57,-3.06
69,케이쓰리아이,"5,210",410,+8.54%,"1,226,337","6,399","5,140","5,150",390,-7.99,N/A
70,강스템바이오텍,"1,177",16,-1.34%,"1,222,441","1,407","1,177","1,178",660,-4.28,-17.52
71,국일신동,"1,595",92,-5.45%,"1,212,150","2,261","1,800","1,801",177,-5.64,-7.58
72,하이젠알앤엠,"36,200","2,150",+6.31%,"1,200,218","44,229","35,850","35,950","11,181",-201.11,-1.92
73,디앤디파마텍,"159,900","19,700",+14.05%,"1,198,679","182,792","156,400","156,500","17,302",-45.72,-49.03
74,TS트릴리온,222,11,+5.21%,"1,195,703",260,218,219,238,-4.53,-19.64
75,헝셩그룹,231,1,+0.43%,"1,195,641",275,229,230,434,46.20,0.69
76,네오이뮨텍,961,39,-3.90%,"1,089,255","1,049",956,957,950,-3.18,-70.17
77,보성파워텍,"3,825",25,+0.66%,"1,069,400","4,126","3,820","3,825","1,879",11.88,6.80
78,더즌,"5,110",10,+0.20%,"1,067,290","5,494","5,130","5,140","3,665",31.74,28.06
79,하이드로리튬,"2,490",60,-2.35%,"1,042,051","2,608","2,480","2,485","1,349",-3.03,-23.16
80,유니테스트,"14,030","1,270",+9.95%,"1,017,966","14,009","14,090","14,100","2,965",-13.32,-19.88
81,SGA솔루션즈,700,7,-0.99%,"1,010,433",716,699,703,597,-4.67,-20.26
82,제주반도체,"16,560",290,+1.78%,"1,002,342","16,517","16,610","16,630","5,704",48.14,11.44
83,율호,"1,169",99,-7.81%,"967,989","1,170","1,180","1,182",841,-4.95,-23.33
84,티엑스알로보틱스,"13,760",730,+5.60%,"966,091","13,816","13,830","13,850","2,126",106.67,14.93
85,스튜디오미르,"4,860",130,-2.61%,"925,640","4,568","4,915","4,920","1,591",-64.80,0.29
86,글로벌텍스프리,"4,780",55,-1.14%,"924,234","4,464","4,770","4,775","3,360",16.95,5.60
87,팬스타엔터프라이즈,934,5,+0.54%,"888,305",830,931,934,"1,081",14.15,6.67
88,캔버스엔,"1,078",65,-5.69%,"886,368",981,"1,079","1,080",254,-3.06,-34.96
89,국일제지,468,1,-0.21%,"880,393",411,466,469,"5,276",-66.86,-9.98
90,한국선재,"3,495",45,+1.30%,"873,962","3,063","3,500","3,510",892,699.00,-1.02
91,헬릭스미스,"7,070",510,+7.77%,"873,402","6,072","6,980","7,000","3,259",-40.40,-10.43
92,하이록코리아,"35,450","2,450",+7.42%,"858,744","31,163","35,650","35,700","4,359",10.50,11.38
93,파인엠텍,"11,640",180,-1.52%,"849,960","9,878","11,550","11,560","4,381",-14.85,-11.87
94,원텍,"10,130",320,-3.06%,"845,890","8,581","10,100","10,110","9,114",22.71,25.76
95,엔에프씨,"6,760",640,-8.65%,"804,227","5,685","6,800","6,810",604,28.64,-9.03
96,케이씨티,"4,200",50,-1.18%,"779,931","3,317","4,215","4,230",720,48.84,2.58
97,에스엔시스,"51,700","1,000",+1.97%,"771,697","40,911","51,500","51,600","4,879",17.35,28.30
98,알체라,"2,825",125,+4.63%,"758,327","2,157","2,810","2,815","1,094",-10.87,-125.69
99,에스유앤피,290,39,+15.54%,"742,748",202,277,279,110,-0.13,-88.89
100,아이에이,182,1,-0.55%,"741,949",136,183,184,684,-2.76,-25.89
