N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
86,LG디스플레이,"11,650",10,-0.09%,"5,000","58,250","500,000",23.74,"376,430",-8.69,-37.21,
87,삼성E&A,"28,550",650,-2.23%,"5,000","55,958","196,000",46.17,"362,762",9.80,19.65,
88,LS,"173,200","2,800",-1.59%,"5,000","55,770","32,200",15.20,"78,068",27.38,5.09,
89,맥쿼리인프라,"11,620",20,+0.17%,0,"55,651","478,922",9.13,"294,781",N/A,N/A,
90,TIGER 미국나스닥100,"144,450",90,+0.06%,0,"55,425","38,370",0.07,"137,163",N/A,N/A,
91,키움증권,"200,000",500,-0.25%,"5,000","52,351","26,176",28.45,"24,164",6.21,15.98,
92,KODEX 미국S&P500,"20,495",15,+0.07%,0,"51,299","250,300",0.10,"2,191,110",N/A,N/A,
93,넷마블,"58,900",100,-0.17%,100,"50,627","85,954",28.01,"48,019",54.74,0.49,
94,두산밥캣,"52,700",400,+0.76%,500,"50,516","95,856",34.01,"54,640",12.28,8.77,
95,한국타이어앤테크놀로지,"40,050",300,-0.74%,500,"49,612","123,875",34.43,"142,612",5.26,10.79,
96,한화솔루션,"27,900",400,+1.45%,"5,000","47,958","171,893",11.30,"426,905",-5.90,-15.99,
97,이수페타시스,"65,100",400,+0.62%,"1,000","47,789","73,409",25.49,"620,059",42.33,24.92,
98,CJ,"162,300","1,200",+0.74%,"5,000","47,354","29,177",11.93,"52,656",78.44,1.83,
99,TIGER CD금리투자KIS(합성),"56,477",7,+0.01%,0,"46,083","81,596",0.03,"80,175",N/A,N/A,
100,BNK금융지주,"14,570",10,-0.07%,"5,000","45,812","314,425",39.71,"355,720",7.24,6.96,
101,JB금융지주,"23,800",150,+0.63%,"5,000","45,502","191,183",34.97,"182,827",6.95,12.80,
102,현대오토에버,"165,700","4,600",-2.70%,500,"45,442","27,424",2.83,"50,925",26.48,10.40,
103,LG생활건강,"293,000",500,+0.17%,"5,000","44,836","15,302",27.85,"15,665",44.92,3.44,
104,오리온,"107,100","1,100",-1.02%,500,"42,343","39,536",31.97,"44,557",8.04,16.57,
105,현대제철,"31,500",250,-0.79%,"5,000","42,035","133,446",21.39,"133,792",-73.77,-0.06,
106,GS,"44,850",600,-1.32%,"5,000","41,673","92,915",15.59,"78,569",17.09,4.12,
107,엔씨소프트,"190,500","2,700",-1.40%,500,"41,041","21,544",32.38,"48,141",-131.65,2.99,
108,KODEX KOFR금리액티브(합성),"110,660",10,+0.01%,0,"40,645","36,730",0.00,"220,363",N/A,N/A,
109,LG이노텍,"167,400","4,900",+3.02%,"5,000","39,619","23,667",23.30,"106,554",13.72,8.92,
110,한미약품,"309,000","5,000",+1.64%,"2,500","39,586","12,811",13.40,"32,822",36.87,11.89,
111,두산로보틱스,"60,800",600,-0.98%,500,"39,411","64,820",3.36,"169,722",-70.37,-8.69,
112,현대차우,"167,600",700,+0.42%,"5,000","39,119","23,341",57.91,"58,887",3.95,N/A,
113,강원랜드,"17,900",60,-0.33%,500,"38,295","213,940",14.20,"249,158",11.24,12.09,
114,한화엔진,"45,450",300,-0.66%,"1,000","37,927","83,447",17.69,"4,049,924",41.70,25.64,
115,SK바이오사이언스,"46,600",250,+0.54%,500,"36,520","78,369",6.13,"30,359",-68.93,-3.07,
116,한국가스공사,"39,100",50,+0.13%,"5,000","36,094","92,313",9.94,"97,024",3.84,11.21,
117,KODEX 종합채권(AA-이상)액티브,"118,880",50,-0.04%,0,"35,939","30,231",0.00,"14,954",N/A,N/A,
118,KCC,"392,000","3,000",-0.76%,"5,000","34,835","8,886",10.43,"5,633",4.31,6.08,
119,CJ제일제당,"230,500","1,500",+0.66%,"5,000","34,700","15,054",17.67,"24,836",28.10,1.97,
120,에코프로머티,"49,250",150,+0.31%,500,"34,442","69,932",21.22,"129,986",-46.90,-5.56,
121,한전기술,"90,000",100,+0.11%,200,"34,398","38,220",10.69,"103,272",34.63,10.40,
122,SKC,"90,400",300,+0.33%,"5,000","34,233","37,868",12.11,"63,706",-8.51,-34.34,
123,TIGER 미국테크TOP10 INDXX,"26,720",15,+0.06%,0,"33,801","126,500",0.04,"447,727",N/A,N/A,
124,포스코DX,"21,750",50,+0.23%,500,"33,068","152,035",3.14,"117,977",42.40,17.92,
125,풍산,"117,900",0,0.00%,"5,000","33,041","28,024",24.65,"67,170",17.06,11.33,
126,산일전기,"104,100","2,100",-1.98%,500,"31,693","30,445",11.66,"308,071",26.29,29.88,
127,롯데지주,"30,050",350,-1.15%,200,"31,525","104,909",8.21,"208,083",-3.18,-15.56,
128,대한조선,"81,800","1,000",+1.24%,"5,000","31,515","38,526",0.57,"297,462",6.57,55.26,
129,HD현대마린엔진,"92,800",700,+0.76%,"2,500","31,479","33,921",12.91,"274,129",34.50,28.34,
130,서울보증보험,"44,850","1,250",+2.87%,"2,500","31,315","69,822",0.87,"59,779",14.70,4.12,
131,KODEX 미국나스닥100,"21,695",15,+0.07%,0,"30,622","141,150",0.03,"498,269",N/A,N/A,
132,에스원,"80,200",600,+0.75%,500,"30,475","37,999",56.13,"8,515",16.31,10.85,
133,현대엘리베이터,"76,600",700,-0.91%,"5,000","29,945","39,092",25.71,"59,038",12.69,14.42,
134,TIGER 200,"42,910",405,+0.95%,0,"28,364","66,100",10.84,"575,241",N/A,N/A,
135,대한전선,"15,200",60,-0.39%,"1,000","28,340","186,447",7.01,"294,931",97.44,5.85,
136,한미사이언스,"41,050",50,+0.12%,500,"28,075","68,392",2.24,"56,962",46.28,7.30,
137,금호석유화학,"106,100",800,-0.75%,"5,000","28,074","26,460",18.40,"30,950",10.78,5.88,
138,KODEX 200TR,"15,355",145,+0.95%,0,"27,892","181,650",0.00,"269,234",N/A,N/A,
139,동서,"27,450",50,-0.18%,500,"27,368","99,700",4.02,"23,306",19.21,9.52,
140,TIGER KOFR금리액티브(합성),"109,605",0,0.00%,0,"27,288","24,897",0.00,"51,776",N/A,N/A,
141,한화생명,"3,115",10,-0.32%,"5,000","27,055","868,530",10.33,"681,231",4.00,6.98,
142,롯데케미칼,"61,700",100,-0.16%,"5,000","26,392","42,775",21.42,"50,936",-1.25,-11.44,
143,HD현대인프라코어,"13,970",390,+2.87%,"1,000","26,383","188,851",16.33,"854,037",60.22,5.92,
144,영원무역,"58,700",500,+0.86%,500,"26,011","44,311",30.06,"13,163",7.01,12.32,
145,한화비전,"51,400",400,+0.78%,500,"25,951","50,488",22.83,"89,936","-1,427.78",N/A,
146,농심,"426,000","2,500",-0.58%,"5,000","25,912","6,083",18.74,"33,047",17.29,6.17,
147,F&F,"65,500",200,+0.31%,100,"25,091","38,307",10.64,"24,036",7.46,25.27,
148,현대해상,"27,950",150,+0.54%,500,"24,987","89,400",35.24,"80,002",3.67,15.75,
149,RISE 머니마켓액티브,"54,615",0,0.00%,0,"24,381","44,642",0.90,"114,349",N/A,N/A,
150,미스토홀딩스,"40,400",0,0.00%,"1,000","24,279","60,096",37.76,"31,846",19.62,4.30,
151,한온시스템,"3,580",5,+0.14%,100,"24,300","678,763",5.17,"334,778",-5.77,-13.90,
152,TIGER 미국필라델피아반도체나스닥,"20,650",25,-0.12%,0,"24,222","117,300",0.07,"298,256",N/A,N/A,
153,KODEX CD1년금리플러스액티브(합성),"1,021,865",50,0.00%,0,"23,978","2,346",0.00,"21,833",N/A,N/A,
154,시프트업,"40,500",250,-0.61%,200,"23,807","58,782",37.20,"52,373",14.66,31.30,
155,신영증권,"144,000","6,700",-4.45%,"5,000","23,674","16,440",6.76,"40,223",18.66,6.45,
156,코스맥스,"207,500","3,500",-1.66%,500,"23,550","11,350",32.77,"108,016",38.00,20.53,
157,더존비즈온,"77,400",800,-1.02%,500,"23,516","30,383",10.51,"137,425",39.65,17.03,
158,엘앤에프,"64,500",500,+0.78%,500,"23,424","36,316",13.62,"253,612",-5.64,-41.74,
159,ACE 미국30년국채액티브(H),"7,575",5,-0.07%,0,"23,081","304,700",0.00,"1,331,441",N/A,N/A,
160,SK가스,"247,500","2,000",-0.80%,"5,000","22,882","9,245",7.20,"3,781",8.83,6.74,
161,제일기획,"19,740",20,-0.10%,200,"22,709","115,041",22.82,"52,634",12.67,15.12,
162,ACE 미국S&P500,"22,555",5,-0.02%,0,"22,645","100,400",0.11,"384,144",N/A,N/A,
163,한전KPS,"50,300",450,+0.90%,200,"22,635","45,000",11.61,"74,829",17.22,13.26,
164,TIGER 미국배당다우존스,"12,315",25,+0.20%,0,"22,358","181,550",0.06,"729,676",N/A,N/A,
165,한국앤컴퍼니,"23,500",400,-1.67%,500,"22,310","94,935",9.81,"41,014",7.43,8.28,
166,iM금융지주,"13,680",150,-1.08%,"5,000","22,169","162,055",44.66,"147,501",8.97,3.60,
167,SK아이이테크놀로지,"27,050",100,+0.37%,"1,000","22,123","81,787",5.71,"42,750",-10.91,-10.41,
168,아모레퍼시픽홀딩스,"26,900",250,-0.92%,500,"21,374","79,458",11.34,"61,721",24.57,7.57,
169,코리안리,"10,950",10,-0.09%,500,"21,333","194,821",26.52,"59,489",6.03,9.45,
170,달바글로벌,"172,400","2,100",-1.20%,100,"21,182","12,286",9.62,"99,800",29.60,26.21,
171,KODEX 레버리지,"24,425",475,+1.98%,0,"21,042","86,150",0.62,"12,926,028",N/A,N/A,
172,SNT다이내믹스,"62,300","1,200",-1.89%,"2,500","20,716","33,253",7.43,"51,254",25.26,12.90,
173,팬오션,"3,870",25,-0.64%,"1,000","20,688","534,570",16.27,"235,197",7.06,5.17,
174,TIGER 머니마켓액티브,"101,100",10,+0.01%,0,"20,409","20,187",0.00,"105,566",N/A,N/A,
175,이마트,"71,700",200,+0.28%,"5,000","19,786","27,596",22.87,"61,220",-4.41,-5.40,
176,DB하이텍,"44,250",50,-0.11%,"5,000","19,646","44,399",28.88,"45,404",8.67,12.44,
177,BGF리테일,"113,300","1,700",-1.48%,"1,000","19,583","17,284",28.64,"14,856",10.91,17.29,
178,아시아나항공,"9,410",10,+0.11%,"5,000","19,384","205,991",2.88,"19,391",9.23,-53.21,
179,CJ대한통운,"82,300",400,-0.48%,"5,000","18,775","22,812",14.03,"19,257",7.98,6.58,
180,파라다이스,"20,100",550,-2.66%,500,"18,527","92,175",11.62,"784,138",21.18,4.97,
181,동원산업,"41,850",850,-1.99%,"1,000","18,476","44,148",5.00,"18,517",14.17,2.74,
182,한솔케미칼,"162,500","3,000",+1.88%,"5,000","18,420","11,335",35.96,"27,889",13.16,13.48,
183,롯데쇼핑,"65,100","1,200",-1.81%,"5,000","18,416","28,289",8.95,"56,216",-1.92,-7.75,
184,호텔신라,"45,650",800,-1.72%,"5,000","17,917","39,248",12.52,"112,095",-19.34,-6.50,
185,한국콜마,"75,200",700,-0.92%,500,"17,751","23,605",38.52,"164,150",18.28,12.50,
186,영원무역홀딩스,"131,300","1,600",-1.20%,500,"17,724","13,499",21.30,"7,820",6.62,13.17,
187,엠앤씨솔루션,"193,500",500,+0.26%,100,"17,713","9,154",8.08,"15,172",44.13,21.82,
188,씨에스윈드,"41,450",100,+0.24%,500,"17,480","42,171",12.88,"72,337",8.42,13.92,
189,STX엔진,"43,350",500,-1.14%,"2,500","17,404","40,148",6.90,"1,798,874",27.28,10.15,
190,HJ중공업,"20,750",500,-2.35%,"5,000","17,279","83,274",3.09,"27,261,178",55.04,1.56,
191,KODEX 코스닥150레버리지,"8,650",100,+1.17%,0,"17,222","199,100",0.21,"10,604,631",N/A,N/A,
192,TIGER 25-10 회사채(A+이상)액티브,"55,342",2,0.00%,0,"17,152","30,992",0.17,"40,681",N/A,N/A,
193,두산퓨얼셀,"26,100",0,0.00%,100,"17,094","65,494",10.94,"872,445",-94.57,N/A,
194,ACE 미국나스닥100,"24,835",30,+0.12%,0,"17,037","68,600",0.24,"254,405",N/A,N/A,
195,TIGER 차이나전기차SOLACTIVE,"10,730",55,-0.51%,0,"16,932","157,800",0.87,"1,074,660",N/A,N/A,
196,일진전기,"35,350",150,-0.42%,"1,000","16,857","47,685",10.55,"280,768",25.52,10.60,
197,KODEX 200선물인버스2X,"1,325",25,-1.85%,0,"16,824","1,269,700",2.19,"279,776,010",N/A,N/A,
198,한국카본,"32,200",100,+0.31%,500,"16,715","51,908",11.89,"226,714",26.59,4.38,
199,HL만도,"35,050",600,-1.68%,"1,000","16,458","46,957",23.77,"78,780",90.10,5.47,
200,RISE 종합채권(A-이상)액티브,"110,465",45,-0.04%,0,"16,292","14,749",0.00,447,N/A,N/A,
